"filename", "language", "JSON", "Markdown", "JavaScript", "Pug", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\studentFocus.svg", "XML", 0, 0, 0, 0, 0, 0, 67, 1, 1, 69
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\tag.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\images\icons\top.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\delicious-app.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 7, 13
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\modules\autocomplete.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 3, 17
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\modules\bling.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\modules\heart.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\modules\map.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 3, 7, 66
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\javascripts\modules\typeAhead.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 1, 6, 82
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_calendar.scss", "SCSS", 0, 0, 0, 0, 0, 83, 0, 0, 5, 88
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_credits.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_flashes.scss", "SCSS", 0, 0, 0, 0, 0, 64, 0, 0, 2, 66
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_forms.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 1, 3, 33
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_heart.scss", "SCSS", 0, 0, 0, 0, 0, 45, 0, 0, 2, 47
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_helpers.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_layout.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_map.scss", "SCSS", 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_nav.scss", "SCSS", 0, 0, 0, 0, 0, 121, 0, 2, 5, 128
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_normalize.scss", "SCSS", 0, 0, 0, 0, 0, 205, 0, 170, 99, 474
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_reviewer.scss", "SCSS", 0, 0, 0, 0, 0, 48, 0, 7, 1, 56
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_reviews.scss", "SCSS", 0, 0, 0, 0, 0, 56, 0, 1, 1, 58
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_search.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 2, 31
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_single.scss", "SCSS", 0, 0, 0, 0, 0, 63, 0, 1, 1, 65
